,add,latitude,longitude,nearest_sch_index,distance_to_nearest_sch,nearest_sch_lat,nearest_sch_lon,nearest_sch_name,nearest_mrt_index,distance_to_nearest_mrt,nearest_mrt_lat,nearest_mrt_lon,nearest_mrt_name,walk_time_to_school,walk_distance_to_school,walk_time_to_mrt,walk_distance_to_mrt,line
683,443 ANG MO KIO AVE 10,1.36604388871674,103.855368968681,2,1716.256582923898,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,707.164226545713,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1711.0,2375.0,794.0,1102.0,NS
684,604 ANG MO KIO AVE 5,1.37986658053966,103.835976650638,3,735.8770435221928,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,167,580.290283439314,1.3850619469262857,103.8364694869142,LENTOR MRT STATION,970.0,1346.0,630.0,875.0,TE
685,601 ANG MO KIO AVE 5,1.38104134784496,103.835131744823,3,846.7803242996238,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,167,471.1533651949013,1.3850619469262857,103.8364694869142,LENTOR MRT STATION,998.0,1385.0,447.0,621.0,TE
686,534 ANG MO KIO AVE 10,1.37405846295585,103.854168170426,3,2214.743814331081,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,16,704.3253984743312,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,2083.0,2893.0,731.0,1016.0,NS
687,538 ANG MO KIO AVE 5,1.37559336678106,103.853347801104,3,2135.6109975116865,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,16,791.497965186671,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1879.0,2610.0,913.0,1269.0,NS
688,559 ANG MO KIO AVE 10,1.37099810674697,103.857856391877,17,1917.4910540520184,1.37289067499064,103.875001549174,ROSYTH SCHOOL,16,899.7139452761776,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1995.0,2771.0,822.0,1142.0,NS
689,558 ANG MO KIO AVE 10,1.37123613284274,103.859192016193,17,1767.0393658048483,1.37289067499064,103.875001549174,ROSYTH SCHOOL,16,1050.4722079477135,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,2081.0,2890.0,923.0,1281.0,NS
690,603 ANG MO KIO AVE 5,1.38020079047279,103.83575571651,3,766.0921504079882,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,167,546.3283383674892,1.3850619469262857,103.8364694869142,LENTOR MRT STATION,919.0,1276.0,542.0,752.0,TE
691,442 ANG MO KIO AVE 10,1.36565326940253,103.855232195496,2,1674.164733905049,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,718.1456483995343,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1640.0,2278.0,651.0,904.0,NS
692,223 ANG MO KIO AVE 1,1.36604808445916,103.838122716883,0,831.2293421328267,1.3605834338904,103.833020333986,AI TONG SCHOOL,169,652.1251670504481,1.3633080980958083,103.8329359578363,BRIGHT HILL MRT STATION,1774.0,2463.0,1466.0,2035.0,TE
